[2025-03-03T21:25:10.658+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-03T21:25:10.691+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: train_predict.etl_full_refresh manual__2025-03-03T21:25:06.225228+00:00 [queued]>
[2025-03-03T21:25:10.710+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: train_predict.etl_full_refresh manual__2025-03-03T21:25:06.225228+00:00 [queued]>
[2025-03-03T21:25:10.712+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-03-03T21:25:10.741+0000] {taskinstance.py:2888} INFO - Executing <Task(_PythonDecoratedOperator): etl_full_refresh> on 2025-03-03 21:25:06.225228+00:00
[2025-03-03T21:25:10.762+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3925) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-03T21:25:10.760+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'train_predict', 'etl_full_refresh', 'manual__2025-03-03T21:25:06.225228+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/train_predict.py', '--cfg-path', '/tmp/tmpxajnlcmd']
[2025-03-03T21:25:10.764+0000] {standard_task_runner.py:72} INFO - Started process 3934 to run task
[2025-03-03T21:25:10.764+0000] {standard_task_runner.py:105} INFO - Job 11: Subtask etl_full_refresh
[2025-03-03T21:25:10.867+0000] {task_command.py:467} INFO - Running <TaskInstance: train_predict.etl_full_refresh manual__2025-03-03T21:25:06.225228+00:00 [running]> on host b756940c1467
[2025-03-03T21:25:11.040+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='train_predict' AIRFLOW_CTX_TASK_ID='etl_full_refresh' AIRFLOW_CTX_EXECUTION_DATE='2025-03-03T21:25:06.225228+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-03T21:25:06.225228+00:00'
[2025-03-03T21:25:11.043+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-03-03T21:25:14.161+0000] {cursor.py:1156} INFO - Number of results in first chunk: 1
[2025-03-03T21:25:14.286+0000] {cursor.py:1156} INFO - Number of results in first chunk: 1
[2025-03-03T21:25:15.250+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-03-03 173.4700 175.0000 167.6400 168.6600 24000398
[2025-03-03T21:25:15.991+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-28 170.3000 172.5000 168.3900 172.2200 30049812
[2025-03-03T21:25:16.784+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-27 175.9400 176.5900 169.7520 170.2100 25930530
[2025-03-03T21:25:17.390+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-26 176.9450 178.0800 173.5900 174.7000 23693251
[2025-03-03T21:25:18.212+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-25 180.1550 180.7600 176.7700 177.3700 20832485
[2025-03-03T21:25:19.132+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-24 183.8000 185.0900 180.8800 181.1900 18734014
[2025-03-03T21:25:19.957+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-21 187.2900 187.4700 181.1300 181.5800 19520782
[2025-03-03T21:25:20.784+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-20 186.5000 187.1200 184.6000 186.6400 12063807
[2025-03-03T21:25:21.581+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-19 186.1850 187.3600 185.5000 187.1300 13120465
[2025-03-03T21:25:22.375+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-02-18 187.4400 187.7800 183.5800 185.8000 19796028
